S_No,Year,Month,Week,Merchant_ID,Product_ID,Country,Sales
1,2013,1,1,ar00001,1,Argentina,157500
2,2013,1,1,ar00003,1,Argentina,39375
3,2013,1,1,ar00004,1,Argentina,15750
4,2013,1,1,ar00007,1,Argentina,47250
5,2013,1,1,ar00008,1,Argentina,283500
6,2013,1,1,ar000011,1,Argentina,0
7,2013,1,1,ar000021,1,Argentina,1575
8,2013,1,1,ar000023,1,Argentina,47250
9,2013,1,1,ar000027,1,Argentina,0
10,2013,1,1,ar000038,1,Argentina,0
11,2013,1,1,ar000052,1,Argentina,277200
12,2013,1,1,ar000058,1,Argentina,12600
13,2013,1,1,ar000059,1,Argentina,126000
14,2013,1,1,ar000064,1,Argentina,1417500
15,2013,1,1,ar000065,1,Argentina,472500
16,2013,1,1,ar000067,1,Argentina,78750
17,2013,1,1,ar000068,1,Argentina,132300
18,2013,1,1,ar000070,1,Argentina,0
19,2013,1,1,ar000074,1,Argentina,94500
20,2013,1,1,ar000078,1,Argentina,7875
21,2013,1,1,ar000081,1,Argentina,173250
22,2013,1,1,ar000083,1,Argentina,22050
23,2013,1,1,ar000089,1,Argentina,236250
24,2013,1,1,ar000091,1,Argentina,510300
25,2013,1,1,ar000095,1,Argentina,9450
26,2013,1,1,ar000096,1,Argentina,9450
27,2013,1,1,ar000098,1,Argentina,157500
28,2013,1,1,ar0000103,1,Argentina,6300
29,2013,1,2,ar00001,1,Argentina,157500
30,2013,1,2,ar00002,1,Argentina,315000
31,2013,1,2,ar00007,1,Argentina,34650
32,2013,1,2,ar00008,1,Argentina,236250
33,2013,1,2,ar000012,1,Argentina,75600
34,2013,1,2,ar000014,1,Argentina,133875
35,2013,1,2,ar000015,1,Argentina,22050
36,2013,1,2,ar000016,1,Argentina,7875
37,2013,1,2,ar000019,1,Argentina,78750
38,2013,1,2,ar000022,1,Argentina,4725
39,2013,1,2,ar000034,1,Argentina,17325
40,2013,1,2,ar000038,1,Argentina,207900
41,2013,1,2,ar000042,1,Argentina,453600
42,2013,1,2,ar000043,1,Argentina,1667925
43,2013,1,2,ar000044,1,Argentina,341775
44,2013,1,2,ar000052,1,Argentina,346500
45,2013,1,2,ar000053,1,Argentina,22050
46,2013,1,2,ar000056,1,Argentina,0
47,2013,1,2,ar000058,1,Argentina,17325
48,2013,1,2,ar000059,1,Argentina,47250
49,2013,1,2,ar000063,1,Argentina,976500
50,2013,1,2,ar000064,1,Argentina,1260000
51,2013,1,2,ar000065,1,Argentina,315000
52,2013,1,2,ar000069,1,Argentina,181125
53,2013,1,2,ar000070,1,Argentina,0
54,2013,1,2,ar000074,1,Argentina,157500
55,2013,1,2,ar000075,1,Argentina,114975
56,2013,1,2,ar000078,1,Argentina,15750
57,2013,1,2,ar000079,1,Argentina,26775
58,2013,1,2,ar000080,1,Argentina,220500
59,2013,1,2,ar000082,1,Argentina,7875
60,2013,1,2,ar000084,1,Argentina,247275
61,2013,1,2,ar000089,1,Argentina,330750
62,2013,1,2,ar000090,1,Argentina,31500
63,2013,1,2,ar000091,1,Argentina,472500
64,2013,1,2,ar000092,1,Argentina,519750
65,2013,1,2,ar000095,1,Argentina,7875
66,2013,1,2,ar000098,1,Argentina,472500
67,2013,1,2,ar0000100,1,Argentina,203175
68,2013,1,2,ar0000103,1,Argentina,4725
69,2013,1,3,ar00002,1,Argentina,630000
70,2013,1,3,ar00007,1,Argentina,11025
71,2013,1,3,ar00008,1,Argentina,220500
72,2013,1,3,ar000011,1,Argentina,472500
73,2013,1,3,ar000012,1,Argentina,18900
74,2013,1,3,ar000014,1,Argentina,69300
75,2013,1,3,ar000015,1,Argentina,1575
76,2013,1,3,ar000016,1,Argentina,4725
77,2013,1,3,ar000021,1,Argentina,4725
78,2013,1,3,ar000023,1,Argentina,94500
79,2013,1,3,ar000027,1,Argentina,204750
80,2013,1,3,ar000034,1,Argentina,31500
81,2013,1,3,ar000037,1,Argentina,18900
82,2013,1,3,ar000038,1,Argentina,340200
83,2013,1,3,ar000043,1,Argentina,812700
84,2013,1,3,ar000044,1,Argentina,160650
85,2013,1,3,ar000050,1,Argentina,6300
86,2013,1,3,ar000051,1,Argentina,4725
87,2013,1,3,ar000052,1,Argentina,236250
88,2013,1,3,ar000053,1,Argentina,11025
89,2013,1,3,ar000055,1,Argentina,18900
90,2013,1,3,ar000058,1,Argentina,4725
91,2013,1,3,ar000059,1,Argentina,126000
92,2013,1,3,ar000060,1,Argentina,315000
93,2013,1,3,ar000063,1,Argentina,371700
94,2013,1,3,ar000064,1,Argentina,2913750
95,2013,1,3,ar000065,1,Argentina,315000
96,2013,1,3,ar000067,1,Argentina,78750
97,2013,1,3,ar000069,1,Argentina,236250
98,2013,1,3,ar000070,1,Argentina,0
99,2013,1,3,ar000074,1,Argentina,63000
100,2013,1,3,ar000075,1,Argentina,248850
101,2013,1,3,ar000079,1,Argentina,28350
102,2013,1,3,ar000081,1,Argentina,126000
103,2013,1,3,ar000084,1,Argentina,102375
104,2013,1,3,ar000085,1,Argentina,63000
105,2013,1,3,ar000089,1,Argentina,708750
106,2013,1,3,ar000091,1,Argentina,661500
107,2013,1,3,ar000092,1,Argentina,378000
108,2013,1,3,ar000095,1,Argentina,4725
109,2013,1,3,ar000098,1,Argentina,157500
110,2013,1,3,ar0000100,1,Argentina,29925
111,2013,1,3,ar0000103,1,Argentina,3150
112,2013,1,4,ar00001,1,Argentina,78750
113,2013,1,4,ar00002,1,Argentina,630000
114,2013,1,4,ar00003,1,Argentina,37800
115,2013,1,4,ar00004,1,Argentina,18900
116,2013,1,4,ar00007,1,Argentina,39375
117,2013,1,4,ar00008,1,Argentina,141750
118,2013,1,4,ar000012,1,Argentina,18900
119,2013,1,4,ar000014,1,Argentina,88200
120,2013,1,4,ar000015,1,Argentina,4725
121,2013,1,4,ar000021,1,Argentina,3150
122,2013,1,4,ar000023,1,Argentina,47250
123,2013,1,4,ar000034,1,Argentina,48825
124,2013,1,4,ar000037,1,Argentina,18900
125,2013,1,4,ar000038,1,Argentina,37800
126,2013,1,4,ar000041,1,Argentina,7875
127,2013,1,4,ar000043,1,Argentina,615825
128,2013,1,4,ar000044,1,Argentina,108675
129,2013,1,4,ar000051,1,Argentina,4725
130,2013,1,4,ar000052,1,Argentina,285075
131,2013,1,4,ar000053,1,Argentina,45675
132,2013,1,4,ar000054,1,Argentina,1575
133,2013,1,4,ar000059,1,Argentina,141750
134,2013,1,4,ar000063,1,Argentina,59850
135,2013,1,4,ar000064,1,Argentina,2913750
136,2013,1,4,ar000065,1,Argentina,315000
137,2013,1,4,ar000068,1,Argentina,189000
138,2013,1,4,ar000069,1,Argentina,196875
139,2013,1,4,ar000074,1,Argentina,94500
140,2013,1,4,ar000075,1,Argentina,111825
141,2013,1,4,ar000078,1,Argentina,7875
142,2013,1,4,ar000083,1,Argentina,25200
143,2013,1,4,ar000085,1,Argentina,39375
144,2013,1,4,ar000086,1,Argentina,7875
145,2013,1,4,ar000089,1,Argentina,189000
146,2013,1,4,ar000092,1,Argentina,504000
147,2013,1,4,ar000095,1,Argentina,6300
148,2013,1,4,ar000096,1,Argentina,1575
149,2013,1,4,ar000098,1,Argentina,393750
150,2013,1,4,ar0000102,1,Argentina,3150
151,2013,1,5,ar00001,1,Argentina,157500
152,2013,1,5,ar00008,1,Argentina,141750
153,2013,1,5,ar000012,1,Argentina,75600
154,2013,1,5,ar000016,1,Argentina,9450
155,2013,1,5,ar000038,1,Argentina,94500
156,2013,1,5,ar000039,1,Argentina,20475
157,2013,1,5,ar000040,1,Argentina,69300
158,2013,1,5,ar000041,1,Argentina,12600
159,2013,1,5,ar000051,1,Argentina,4725
160,2013,1,5,ar000053,1,Argentina,18900
161,2013,1,5,ar000059,1,Argentina,63000
162,2013,1,5,ar000067,1,Argentina,78750
163,2013,1,5,ar000068,1,Argentina,113400
164,2013,1,5,ar000069,1,Argentina,196875
165,2013,1,5,ar000070,1,Argentina,0
166,2013,1,5,ar000074,1,Argentina,94500
167,2013,1,5,ar000075,1,Argentina,4725
168,2013,1,5,ar000080,1,Argentina,173250
169,2013,1,5,ar000081,1,Argentina,126000
170,2013,1,5,ar000085,1,Argentina,47250
171,2013,1,5,ar000086,1,Argentina,9450
172,2013,1,5,ar000089,1,Argentina,94500
173,2013,1,5,ar000091,1,Argentina,567000
174,2013,1,5,ar000092,1,Argentina,236250
175,2013,1,5,ar000095,1,Argentina,7875
176,2013,1,5,ar000096,1,Argentina,6300
177,2013,1,5,ar000098,1,Argentina,31500
